id_order_detail,order_id,product_id,quantity,name,supplier_id,category_id,unit,price,id,name_category,description,customer_id,employee_id,date,shipper_id,name_order,contact,address,city,postal_code,country,last_name,first_name,birthdate,photo,notes,name_shipper,phone,id_supplier,name_supplier,contact_supplier,address_supplier,city_supplier,postal_code_supplier,country_supplier,phone_supplier
11,10251,65,20,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",84,3,1996-07-08,1,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,Speedy Express,(503) 555-9831,2,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822
12,10252,20,40,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,3,Confections,"Desserts, candies, and sweet breads",76,4,1996-07-09,2,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,8,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448
13,10252,33,25,Geitost,15,4,500 g,2.5,4,Dairy Products,Cheeses,76,4,1996-07-09,2,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,15,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010
14,10252,60,40,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,4,Dairy Products,Cheeses,76,4,1996-07-09,2,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,28,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
15,10253,31,20,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,4,Dairy Products,Cheeses,34,3,1996-07-10,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,14,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323
16,10253,39,42,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",34,3,1996-07-10,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,18,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68
17,10253,49,40,Maxilaku,23,3,24 - 50 g pkgs.,20.0,3,Confections,"Desserts, candies, and sweet breads",34,3,1996-07-10,2,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,23,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956
18,10254,24,15,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",14,5,1996-07-11,2,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",United Package,(503) 555-3199,10,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640
19,10254,55,21,Pâté chinois,25,6,24 boxes x 2 pies,24.0,6,Meat/Poultry,Prepared meats,14,5,1996-07-11,2,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",United Package,(503) 555-3199,25,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022
20,10254,74,21,Longlife Tofu,4,7,5 kg pkg.,10.0,7,Produce,Dried fruit and bean curd,14,5,1996-07-11,2,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",United Package,(503) 555-3199,4,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011
21,10255,2,20,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",68,9,1996-07-12,3,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,1,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
22,10255,16,35,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads",68,9,1996-07-12,3,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,7,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343
23,10255,36,25,Inlagd Sill,17,8,24 - 250 g jars,19.0,8,Seafood,Seaweed and fish,68,9,1996-07-12,3,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,17,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67
24,10255,59,30,Raclette Courdavault,28,4,5 kg pkg.,55.0,4,Dairy Products,Cheeses,68,9,1996-07-12,3,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,28,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
25,10256,53,15,Perth Pasties,24,6,48 pieces,32.8,6,Meat/Poultry,Prepared meats,88,3,1996-07-15,2,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,24,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914
26,10256,77,12,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",88,3,1996-07-15,2,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,Leverling,Janet,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755
27,10257,27,25,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,3,Confections,"Desserts, candies, and sweet breads",35,4,1996-07-16,3,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Federal Shipping,(503) 555-9931,11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510
28,10257,39,6,Chartreuse verte,18,1,750 cc per bottle,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",35,4,1996-07-16,3,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Federal Shipping,(503) 555-9931,18,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68
29,10257,77,15,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",35,4,1996-07-16,3,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Federal Shipping,(503) 555-9931,12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755
30,10258,2,50,Chang,1,1,24 - 12 oz bottles,19.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",20,1,1996-07-17,1,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Davolio,Nancy,1968-12-08,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.,Speedy Express,(503) 555-9831,1,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
31,10258,5,65,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",20,1,1996-07-17,1,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Davolio,Nancy,1968-12-08,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.,Speedy Express,(503) 555-9831,2,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822
32,10258,32,6,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0,4,Dairy Products,Cheeses,20,1,1996-07-17,1,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Davolio,Nancy,1968-12-08,EmpID1.pic,Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'.,Speedy Express,(503) 555-9831,14,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323
33,10259,21,10,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,Confections,"Desserts, candies, and sweet breads",13,4,1996-07-18,3,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,05022,Mexico,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Federal Shipping,(503) 555-9931,8,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448
34,10259,37,1,Gravad lax,17,8,12 - 500 g pkgs.,26.0,8,Seafood,Seaweed and fish,13,4,1996-07-18,3,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,05022,Mexico,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Federal Shipping,(503) 555-9931,17,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67
35,10260,41,16,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,8,Seafood,Seaweed and fish,55,4,1996-07-19,1,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Speedy Express,(503) 555-9831,19,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,02134,USA,(617) 555-3267
36,10260,57,50,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",55,4,1996-07-19,1,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Speedy Express,(503) 555-9831,26,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665
37,10260,62,15,Tarte au sucre,29,3,48 pies,49.3,3,Confections,"Desserts, candies, and sweet breads",55,4,1996-07-19,1,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Speedy Express,(503) 555-9831,29,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955
38,10260,70,21,Outback Lager,7,1,24 - 355 ml bottles,15.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",55,4,1996-07-19,1,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,Speedy Express,(503) 555-9831,7,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343
39,10261,21,20,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,3,Confections,"Desserts, candies, and sweet breads",61,4,1996-07-19,2,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,8,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448
40,10261,35,20,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",61,4,1996-07-19,2,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Peacock,Margaret,1958-09-19,EmpID4.pic,Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.,United Package,(503) 555-3199,16,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931
41,10262,5,12,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",65,8,1996-07-22,3,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Callahan,Laura,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,2,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822
42,10262,7,15,Uncle Bob's Organic Dried Pears,3,7,12 - 1 lb pkgs.,30.0,7,Produce,Dried fruit and bean curd,65,8,1996-07-22,3,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Callahan,Laura,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,3,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735
43,10262,56,2,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",65,8,1996-07-22,3,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Callahan,Laura,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,26,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665
44,10263,16,60,Pavlova,7,3,32 - 500 g boxes,17.45,3,Confections,"Desserts, candies, and sweet breads",20,9,1996-07-23,3,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,7,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343
45,10263,24,28,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",20,9,1996-07-23,3,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,10,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640
46,10263,30,60,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.89,8,Seafood,Seaweed and fish,20,9,1996-07-23,3,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713
47,10263,74,36,Longlife Tofu,4,7,5 kg pkg.,10.0,7,Produce,Dried fruit and bean curd,20,9,1996-07-23,3,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Dodsworth,Anne,1969-07-02,EmpID9.pic,Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German.,Federal Shipping,(503) 555-9931,4,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011
